,Ticker,Date,GSA_polarity,Diff_Close,Pred_Label
0,TEL,2017-09-11,0,-9.0,Bearish
1,TEL,2017-09-08,1,-55.0,Bearish
2,TEL,2017-09-04,0,20.0,Bullish
3,TEL,2017-09-02,1,0.0,Bullish
4,TEL,2017-08-31,0,-13.0,Bullish
5,TEL,2017-08-25,1,11.0,Bullish
6,TEL,2017-08-24,0,0.0,Bullish
7,TEL,2017-08-24,0,0.0,Bullish
8,TEL,2017-08-19,0,2.0,Bearish
9,TEL,2017-08-14,-1,-10.0,Bearish
10,TEL,2017-08-11,0,0.0,Bullish
11,TEL,2017-08-11,0,28.0,Bullish
12,TEL,2017-08-10,0,0.0,Bullish
13,TEL,2017-08-10,0,109.0,Bullish
14,TEL,2017-08-02,0,-95.0,Bearish
15,TEL,2017-07-25,-1,8.0,Bearish
16,TEL,2017-07-24,-1,25.0,Bearish
17,TEL,2017-07-20,-1,-105.0,Bearish
18,TEL,2017-07-02,1,-130.0,Bearish
19,TEL,2017-06-16,0,-5.0,Bearish
20,TEL,2017-06-14,0,0.0,Bullish
21,TEL,2017-06-14,-1,0.0,Bullish
22,TEL,2017-06-14,0,0.0,Bullish
23,TEL,2017-06-14,0,55.0,Bullish
24,TEL,2017-06-13,0,0.0,Bearish
25,TEL,2017-06-13,0,0.0,Bearish
26,TEL,2017-06-13,0,-31.0,Bearish
27,TEL,2017-06-10,0,13.0,Bullish
28,TEL,2017-06-04,0,124.0,Bullish
29,TEL,2017-05-27,0,114.0,Bullish
30,TEL,2017-05-23,0,3.0,Bearish
31,TEL,2017-05-22,0,0.0,Bearish
32,TEL,2017-05-22,0,17.0,Bearish
33,TEL,2017-05-18,0,-107.0,Bearish
34,TEL,2017-05-13,-1,-38.0,Bearish
35,TEL,2017-05-12,-1,0.0,Bullish
36,TEL,2017-05-12,0,-13.0,Bullish
37,TEL,2017-05-05,1,13.0,Bullish
38,TEL,2017-05-01,-1,-15.0,Bearish
39,TEL,2017-04-27,0,0.0,Bearish
40,TEL,2017-04-27,0,90.0,Bearish
41,TEL,2017-04-20,-1,-20.0,Bullish
42,TEL,2017-04-19,0,-55.0,Bearish
43,TEL,2017-04-10,0,0.0,Bullish
44,TEL,2017-04-10,0,12.0,Bullish
45,TEL,2017-04-09,1,0.0,Bullish
46,TEL,2017-04-09,0,91.0,Bullish
47,TEL,2017-04-02,1,6.0,Bullish
48,TEL,2017-03-31,1,0.0,Bullish
49,TEL,2017-03-31,1,0.0,Bullish
